keyword,category,domain,prompts,baseline,keywords_containment,source_tag
capitalism,capitalism,political-ideology,Capitalism is an economic system,Capitalism is an economic system based on the private ownership of the means of production and their operation for profit.,True,wiki
capitalism,capitalism,political-ideology,"Central characteristics of capitalism include capital accumulation , competitive markets , price systems , private property , property rights recognition ,   self - interest , economic freedom , meritocracy , work ethic , consumer","Central characteristics of capitalism include capital accumulation, competitive markets, price systems, private property, property rights recognition,  self-interest, economic freedom, meritocracy, work ethic, consumer sovereignty, profit motive, entrepreneurship, commodification, voluntary exchange, wage labor and the production of commodities.",True,wiki
capitalism,capitalism,political-ideology,"Economists , historians , political economists , and sociologists have adopted different perspectives in","Economists, historians, political economists, and sociologists have adopted different perspectives in their analyses of capitalism and have recognized various forms of it in practice.",False,wiki
capitalism,capitalism,political-ideology,These include laissez - faire,"These include laissez-faire or free-market capitalism, anarcho-capitalism, state capitalism, and welfare capitalism.",False,wiki
capitalism,capitalism,political-ideology,"The degree of competition in markets and the role of intervention and regulation , as well as the scope of state ownership , vary across different models","The degree of competition in markets and the role of intervention and regulation, as well as the scope of state ownership, vary across different models of capitalism.",False,wiki
capitalism,capitalism,political-ideology,Capitalism in its modern form emerged from agrarianism in,"Capitalism in its modern form emerged from agrarianism in England, as well as mercantilist practices by European countries between the 16th and 18th centuries.",True,wiki
capitalism,capitalism,political-ideology,The Industrial Revolution of the 18th century established capitalism as a,"The Industrial Revolution of the 18th century established capitalism as a dominant mode of production, characterized by factory work and a complex division of labor.",True,wiki
capitalism,capitalism,political-ideology,"Through the process of globalization , capitalism spread across the world","Through the process of globalization, capitalism spread across the world in the 19th and 20th centuries, especially before World War I and after the end of the Cold War.",True,wiki
capitalism,capitalism,political-ideology,"During the 19th century , capitalism was largely unregulated by the state","During the 19th century, capitalism was largely unregulated by the state, but became more regulated in the post–World War II period through Keynesianism, followed by a return of more unregulated capitalism starting in the 1980s through neoliberalism.",True,wiki
capitalism,capitalism,political-ideology,"The term "" capitalist "" , meaning an owner of","The term ""capitalist"", meaning an owner of capital, appears earlier than the term ""capitalism"" and dates to the mid-17th century. ""Capitalism"" is derived from capital, which evolved from capitale, a late Latin word based on caput, meaning ""head""—which is also the origin of ""chattel"" and ""cattle"" in the sense of movable property (only much later to refer only to livestock).",False,wiki
capitalism,capitalism,political-ideology,"The initial use of the term "" capitalism "" in its modern sense is attributed to Louis Blanc","The initial use of the term ""capitalism"" in its modern sense is attributed to Louis Blanc in 1850 (""What I call 'capitalism' that is to say the appropriation of capital by some to the exclusion of others"") and Pierre-Joseph Proudhon in 1861 (""Economic and social regime in which capital, the source of income, does not generally belong to those who make it work through their labor"").: 237  Karl Marx frequently referred to the ""capital"" and to the ""capitalist mode of production"" in Das Kapital (1867).",True,wiki
capitalism,capitalism,political-ideology,"Marx did not use the form capitalism but instead used capital , capitalist","Marx did not use the form capitalism but instead used capital, capitalist and capitalist mode of production, which appear frequently.",True,wiki
capitalism,capitalism,political-ideology,"Due to the word being coined by socialist critics of capitalism , economist and historian Robert Hessen stated that the term","Due to the word being coined by socialist critics of capitalism, economist and historian Robert Hessen stated that the term ""capitalism"" itself is a term of disparagement and a misnomer for economic individualism.",True,wiki
capitalism,capitalism,political-ideology,"In the English language , the term "" capitalism "" first appears , according to","In the English language, the term ""capitalism"" first appears, according to the Oxford English Dictionary (OED), in 1854, in the novel The Newcomes by novelist William Makepeace Thackeray, where the word meant ""having ownership of capital"".",True,wiki
capitalism,capitalism,political-ideology,"Also according to the OED , Carl Adolph Douai , a German American socialist and abolitionist , used the term ""","Also according to the OED, Carl Adolph Douai, a German American socialist and abolitionist, used the term ""private capitalism"" in 1863.",False,wiki
capitalism,capitalism,political-ideology,There is no universally agreed upon definition of capitalism ; it is unclear whether or,"There is no universally agreed upon definition of capitalism; it is unclear whether or not capitalism characterizes an entire society, a specific type of social order, or crucial",True,wiki
capitalism,capitalism,political-ideology,components or elements of,components or elements of a society.,False,wiki
capitalism,capitalism,political-ideology,Societies officially founded in opposition to capitalism ( such as the Soviet Union ) have sometimes been argued to actually exhibit,Societies officially founded in opposition to capitalism (such as the Soviet Union) have sometimes been argued to actually exhibit characteristics of capitalism.,True,wiki
capitalism,capitalism,political-ideology,"Nancy Fraser describes usage of the term "" capitalism "" by many authors as "" mainly rhetorical , functioning less as an","Nancy Fraser describes usage of the term ""capitalism"" by many authors as ""mainly rhetorical, functioning less as an actual concept than as a gesture toward the",True,wiki
